2026-03-08 10:31:58,416 | INFO | smart_impute applied (skew_threshold=1.0).
2026-03-08 10:31:58,496 | INFO | handle_outliers method='iqr'
2026-03-08 10:31:58,498 | INFO | clean_column_names \u2192 renamed 17 cols: {'Rank': 'rank', 'CCA3': 'cca3', 'Country': 'country', 'Capital': 'capital', 'Continent': 'continent', '2022 Population': '2022_population', '2020 Population': '2020_population', '2015 Population': '2015_population', '2010 Population': '2010_population', '2000 Population': '2000_population', '1990 Population': '1990_population', '1980 Population': '1980_population', '1970 Population': '1970_population', 'Area (km²)': 'area_km²', 'Density (per km²)': 'density_per_km²', 'Growth Rate': 'growth_rate', 'World Population Percentage': 'world_population_percentage'}
2026-03-08 10:31:58,524 | INFO | standardize_strings applied.
2026-03-08 10:31:58,553 | INFO | drop_highly_correlated (threshold=0.95) \u2192 dropped ['2020_population', '2015_population', '2010_population', '2000_population', '1990_population', '1980_population', '1970_population', 'world_population_percentage']
2026-03-08 10:35:27,332 | INFO | smart_impute applied (skew_threshold=3.0).
2026-03-08 10:35:27,419 | INFO | handle_outliers method='iqr'
2026-03-08 10:35:27,453 | INFO | standardize_strings applied.
2026-03-08 10:35:27,472 | INFO | drop_highly_correlated (threshold=1.0) \u2192 dropped []
2026-03-08 10:35:30,901 | INFO | smart_impute applied (skew_threshold=3.0).
2026-03-08 10:35:30,969 | INFO | handle_outliers method='iqr'
2026-03-08 10:35:30,986 | INFO | standardize_strings applied.
2026-03-08 10:35:30,998 | INFO | drop_highly_correlated (threshold=1.0) \u2192 dropped []
2026-03-08 10:42:11,096 | INFO | smart_impute applied (skew_threshold=3.0).
2026-03-08 10:42:11,155 | INFO | handle_outliers method='iqr'
2026-03-08 10:42:11,172 | INFO | standardize_strings applied.
2026-03-08 10:42:11,182 | INFO | drop_highly_correlated (threshold=1.0) \u2192 dropped []
2026-03-08 10:50:53,089 | INFO | handle_outliers method='iqr'
2026-03-08 10:50:53,153 | INFO | standardize_strings applied.
2026-03-08 10:50:53,165 | INFO | fix_date_formats: ['Date']
2026-03-08 10:50:53,166 | INFO | fix_numeric_strings: []
2026-03-08 10:54:24,723 | INFO | handle_outliers method='iqr'
2026-03-08 10:54:24,727 | INFO | clean_column_names \u2192 renamed 8 cols: {'Store': 'store', 'Date': 'date', 'Weekly_Sales': 'weekly_sales', 'Holiday_Flag': 'holiday_flag', 'Temperature': 'temperature', 'Fuel_Price': 'fuel_price', 'CPI': 'cpi', 'Unemployment': 'unemployment'}
2026-03-08 10:54:24,784 | INFO | standardize_strings applied.
2026-03-08 10:54:24,796 | INFO | fix_date_formats: ['date']
2026-03-08 10:54:24,797 | INFO | fix_numeric_strings: []
2026-03-08 10:56:22,010 | INFO | handle_outliers method='iqr'
2026-03-08 10:56:22,011 | INFO | clean_column_names \u2192 renamed 8 cols: {'Store': 'store', 'Date': 'date', 'Weekly_Sales': 'weekly_sales', 'Holiday_Flag': 'holiday_flag', 'Temperature': 'temperature', 'Fuel_Price': 'fuel_price', 'CPI': 'cpi', 'Unemployment': 'unemployment'}
2026-03-08 10:56:22,074 | INFO | standardize_strings applied.
2026-03-08 10:56:22,086 | INFO | fix_date_formats: ['date']
2026-03-08 10:56:22,087 | INFO | fix_numeric_strings: []
2026-03-08 10:56:28,414 | INFO | handle_outliers method='iqr'
2026-03-08 10:56:28,415 | INFO | clean_column_names \u2192 renamed 8 cols: {'Store': 'store', 'Date': 'date', 'Weekly_Sales': 'weekly_sales', 'Holiday_Flag': 'holiday_flag', 'Temperature': 'temperature', 'Fuel_Price': 'fuel_price', 'CPI': 'cpi', 'Unemployment': 'unemployment'}
2026-03-08 10:56:28,464 | INFO | standardize_strings applied.
2026-03-08 10:56:28,473 | INFO | fix_date_formats: ['date']
2026-03-08 10:56:28,474 | INFO | fix_numeric_strings: []
2026-03-08 10:56:49,683 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '05-02-2010' (n=45) vs '05-03-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,685 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '12-02-2010' (n=45) vs '19-02-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,686 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '19-03-2010' (n=45) vs '19-02-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,687 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '26-03-2010' (n=45) vs '26-02-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,688 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '02-04-2010' (n=45) vs '09-04-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,689 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '16-04-2010' (n=45) vs '16-07-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,691 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '14-05-2010' (n=45) vs '21-05-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,692 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '28-05-2010' (n=45) vs '21-05-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,693 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '11-06-2010' (n=45) vs '18-06-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,695 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '09-07-2010' (n=45) vs '09-04-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,696 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '23-07-2010' (n=45) vs '23-04-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,697 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '06-08-2010' (n=45) vs '20-08-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,698 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '27-08-2010' (n=45) vs '20-08-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,702 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '03-09-2010' (n=45) vs '10-09-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,703 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '17-09-2010' (n=45) vs '10-09-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,705 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '01-10-2010' (n=45) vs '08-10-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,706 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '22-10-2010' (n=45) vs '29-10-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,707 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '12-11-2010' (n=45) vs '19-11-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,708 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '03-12-2010' (n=45) vs '10-12-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,710 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '17-12-2010' (n=45) vs '10-12-2010' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,711 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '07-01-2011' (n=45) vs '07-10-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,712 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '14-01-2011' (n=45) vs '21-01-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,713 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '28-01-2011' (n=45) vs '21-01-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,717 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '04-02-2011' (n=45) vs '04-03-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,718 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '11-02-2011' (n=45) vs '18-02-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,719 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '25-02-2011' (n=45) vs '25-03-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,720 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '18-03-2011' (n=45) vs '18-02-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,722 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '01-04-2011' (n=45) vs '08-04-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,723 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '22-04-2011' (n=45) vs '29-04-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,724 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '06-05-2011' (n=45) vs '20-05-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,726 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '27-05-2011' (n=45) vs '20-05-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,727 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '03-06-2011' (n=45) vs '10-06-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,728 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '17-06-2011' (n=45) vs '10-06-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,730 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '08-07-2011' (n=45) vs '08-04-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,733 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '15-07-2011' (n=45) vs '15-04-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,735 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '29-07-2011' (n=45) vs '29-04-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,736 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '12-08-2011' (n=45) vs '19-08-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,737 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '02-09-2011' (n=45) vs '09-09-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,739 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '21-10-2011' (n=45) vs '21-01-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,740 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '11-11-2011' (n=45) vs '18-11-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,741 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '02-12-2011' (n=45) vs '09-12-2011' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,743 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '06-01-2012' (n=45) vs '20-01-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,744 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '13-01-2012' (n=45) vs '13-04-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,745 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '27-01-2012' (n=45) vs '20-01-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,748 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '03-02-2012' (n=45) vs '10-02-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,750 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '17-02-2012' (n=45) vs '10-02-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,751 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '24-02-2012' (n=45) vs '24-08-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,752 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '02-03-2012' (n=45) vs '09-03-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,754 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '20-04-2012' (n=45) vs '20-01-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,755 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '11-05-2012' (n=45) vs '18-05-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,756 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '01-06-2012' (n=45) vs '08-06-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,757 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '22-06-2012' (n=45) vs '29-06-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,758 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '10-08-2012' (n=45) vs '10-02-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,760 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '14-09-2012' (n=45) vs '21-09-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,764 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '28-09-2012' (n=45) vs '21-09-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
2026-03-08 10:56:49,765 | WARNING | auto_fix_typos 'Date': AMBIGUOUS MERGE — '12-10-2012' (n=45) vs '19-10-2012' (n=45). Frequencies are close; verify these are not distinct values before accepting the auto-fix.
